id,standard,chapter_number,chapter_name,major_topic,subtopic,concept_tested,stem,option_a,option_b,option_c,option_d,correct_option,correct_answer_text,solution,formula_principle,common_misconception,difficulty,estimated_time,question_type,source_type,concept_family_id,family_size,syllabus_scope_status,generator_eligible_strict_cet,generator_eligible_extended_revision,review_status,syllabus_version,release_version
PHY-11-CH01-0001,11,1,Measurements,Units and Measurement,SI base units,Base unit recall,The SI unit of luminous intensity is,lumen,candela,lux,watt,B,candela,Luminous intensity is one of the seven SI base quantities and its base unit is the candela (cd).,SI base quantities and units,Confusing luminous intensity (candela) with luminous flux (lumen) or illuminance (lux).,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-f278b815,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0002,11,1,Measurements,Units and Measurement,Base vs derived quantities,Identify base quantity,Which of the following is a fundamental (base) quantity in the SI system?,Force,Electric current,Momentum,Electric charge,B,Electric current,"Electric current (ampere) is one of the seven SI base quantities; force, momentum and charge are all derived.",SI base quantities,"Assuming charge is fundamental; current is the base quantity, charge is derived.",Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-57d715d2,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0003,11,1,Measurements,Units and Measurement,SI system,Number of base quantities,The number of base (fundamental) quantities in the SI system is,7,6,5,8,A,7,"The SI system defines seven base quantities: length, mass, time, electric current, temperature, amount of substance and luminous intensity.",SI base quantities,Forgetting amount of substance or luminous intensity in the count.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-def996cf,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0004,11,1,Measurements,Units and Measurement,SI base units,Base unit recall,The SI unit of the amount of substance is the,mole,kilogram,candela,kelvin,A,mole,Amount of substance is a base quantity with SI unit the mole (mol).,SI base quantities,Confusing amount of substance (mole) with mass (kilogram).,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-9389f251,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0005,11,1,Measurements,Units and Measurement,Units of physical quantities,Same unit pair,Which pair of physical quantities has the same SI unit?,Work and energy,Work and power,Force and momentum,Pressure and force,A,Work and energy,"Work and energy are both measured in joule (J), since energy is the capacity to do work.",Units of derived quantities,Assuming force and momentum share a unit because both involve mass and motion.,Medium,Under 30 seconds,Comparison Based,ORIGINAL,CF-d70a4469,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0006,11,1,Measurements,Units and Measurement,Practical units,Parsec meaning,The unit 'parsec' is used to measure,time,plane angle,distance,density,C,distance,"A parsec is a large astronomical unit of distance, equal to about 3.26 light years.",Astronomical units of length,Linking 'parsec' to 'sec' and wrongly treating it as a time unit.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-2b23b006,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0007,11,1,Measurements,Units and Measurement,Practical units,Parsec value,One parsec is approximately equal to,1 light year,1 astronomical unit,0.5 light year,3.26 light year,D,3.26 light year,"By definition 1 parsec is the distance at which 1 AU subtends 1 arc second, which works out to about 3.26 light years.",1 parsec ~ 3.26 ly,Assuming a parsec and a light year are the same size.,Medium,Under 30 seconds,Formula Based,ORIGINAL,CF-cd0f481f,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0008,11,1,Measurements,Units and Measurement,Practical units,Light year value,One light year is approximately equal to,3 x 10^8 m,1.5 x 10^11 m,9.46 x 10^15 m,3.26 x 10^16 m,C,9.46 x 10^15 m,1 light year = c x t = (3 x 10^8 m s^-1) x (3.15 x 10^7 s) ~ 9.46 x 10^15 m.,distance = speed x time,Reporting the distance light travels in one second instead of one year.,Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-ab0a0a61,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0009,11,1,Measurements,Units and Measurement,Practical units,Astronomical unit,One astronomical unit (AU) is defined as the average distance between the,Earth and the Moon,Sun and the Earth,Sun and the nearest star,two nearest galaxies,B,Sun and the Earth,"1 AU is the mean Sun to Earth distance, about 1.5 x 10^11 m.",Astronomical units,Confusing the AU (Sun to Earth) with the Earth to Moon distance.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-3689ae6e,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0010,11,1,Measurements,Units and Measurement,Units of time,Odd one out (time),Which of the following is NOT a unit of time?,leap year,lunar month,light year,shake,C,light year,"A light year is a unit of distance, not time, despite containing the word 'year'.",Units of time vs length,Being misled by the word 'year' in 'light year'.,Medium,30 to 60 seconds,Conceptual Trap,ORIGINAL,CF-6a62aefb,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0011,11,1,Measurements,Units and Measurement,Plane angle and solid angle,Solid angle unit,The SI unit of solid angle is the,radian,steradian,degree,candela,B,steradian,Solid angle is measured in steradian (sr); plane angle is measured in radian (rad).,Radian and steradian,Interchanging radian (plane angle) and steradian (solid angle).,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-dd24e7f6,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0012,11,1,Measurements,Units and Measurement,Plane angle and solid angle,Radian meaning,In the SI system the radian is the unit used to measure,solid angle,length of an arc,luminous flux,plane angle,D,plane angle,"The radian is the SI unit of plane angle, defined as arc length divided by radius. Modern SI treats plane angle as a dimensionless derived quantity with the special unit name radian; older texts call it a supplementary unit.",Radian and steradian,Confusing plane angle (radian) with solid angle (steradian).,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-7c2fd8bb,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0013,11,1,Measurements,Units and Measurement,Practical units,Fermi,One fermi is equal to,10^-10 m,10^-15 m,10^-9 m,10^-12 m,B,10^-15 m,The fermi is used for nuclear sizes: 1 fermi = 1 femtometre = 10^-15 m.,1 fermi = 10^-15 m,Confusing the fermi (10^-15 m) with the angstrom (10^-10 m).,Medium,Under 30 seconds,Formula Based,ORIGINAL,CF-715f04a4,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0014,11,1,Measurements,Units and Measurement,Practical units,Angstrom,One angstrom is equal to,10^-8 m,10^-10 m,10^-15 m,10^-9 m,B,10^-10 m,The angstrom is used for atomic sizes and wavelengths: 1 A = 10^-10 m.,1 angstrom = 10^-10 m,Mixing up angstrom (10^-10 m) with nanometre (10^-9 m).,Medium,Under 30 seconds,Formula Based,ORIGINAL,CF-03e9790b,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0015,11,1,Measurements,Units and Measurement,Practical units,Barn,The unit 'barn' used in nuclear physics is a unit of,length,volume,area,energy,C,area,"The barn measures nuclear cross-sectional area, with 1 barn = 10^-28 m^2.",1 barn = 10^-28 m^2,Assuming barn is a length or volume rather than an area.,Medium,30 to 60 seconds,Direct Concept,ORIGINAL,CF-eef969ec,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0016,11,1,Measurements,Units and Measurement,Systems of units,CGS system,"The system of units that uses centimetre, gram and second as base units is the",MKS system,SI system,CGS system,FPS system,C,CGS system,"CGS stands for centimetre, gram, second.",Systems of units,"Confusing CGS with MKS, which uses metre and kilogram.",Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-da9754dc,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0017,11,1,Measurements,Units and Measurement,Units of derived quantities,Pascal,"In the SI system the unit of pressure, the pascal, is equivalent to",N m^-2,N m,N m^-1,N m^2,A,N m^-2,"Pressure is force per unit area, so 1 pascal = 1 N m^-2.",Pressure = Force / Area,Writing N m (joule) instead of N m^-2 for pressure.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-49399ff5,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0018,11,1,Measurements,Units and Measurement,Practical units,Atmospheric pressure,One atmosphere of pressure is approximately,1.01 x 10^5 Pa,1.01 x 10^3 Pa,1.01 x 10^2 Pa,1.01 x 10^7 Pa,A,1.01 x 10^5 Pa,Standard atmospheric pressure is about 1.013 x 10^5 Pa (about 760 mm of Hg).,Standard atmospheric pressure,Losing track of the power of ten for standard atmospheric pressure.,Medium,30 to 60 seconds,Direct Concept,ORIGINAL,CF-da022cf5,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0019,11,1,Measurements,Dimensions,Dimensional formulae,Force,The dimensional formula of force is,[M L T^-2],[M L^2 T^-2],[M L T^-1],[M L^-1 T^-2],A,[M L T^-2],Force = mass x acceleration = [M][L T^-2] = [M L T^-2].,F = m a,Confusing force [M L T^-2] with momentum [M L T^-1].,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-e796c86d,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0020,11,1,Measurements,Dimensions,Dimensional formulae,Work and energy,The dimensional formula of work (or energy) is,[M L T^-2],[M L^2 T^-3],[M L^2 T^-1],[M L^2 T^-2],D,[M L^2 T^-2],Work = force x displacement = [M L T^-2][L] = [M L^2 T^-2].,W = F d,Dropping a length factor and writing force dimensions instead.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-fcabb6b9,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
